pull_request,number_of_additions,number_of_deletions,number_of_files_changed
1329,0,0,0
1317,0,0,0
1255,0,0,0
1135,0,0,0
1123,0,0,0
1103,0,0,0
1097,0,0,0
1049,0,0,0
1042,0,0,0
945,0,0,0
944,0,0,0
942,0,0,0
931,0,0,0
898,0,0,0
889,0,0,0
857,0,0,0
839,0,0,0
820,0,0,0
818,0,0,0
817,0,0,0
806,0,0,0
805,0,0,0
795,0,0,0
784,0,0,0
745,0,0,0
720,0,0,0
695,0,0,0
600,0,0,0
585,0,0,0
582,0,0,0
576,0,0,0
570,0,0,0
566,0,0,0
563,0,0,0
562,0,0,0
559,0,0,0
557,0,0,0
554,0,0,0
553,0,0,0
548,0,0,0
543,0,0,0
540,0,0,0
538,0,0,0
536,0,0,0
535,0,0,0
482,0,0,0
472,0,0,0
462,0,0,0
451,0,0,0
447,0,0,0
446,0,0,0
421,0,0,0
403,0,0,0
393,0,0,0
390,0,0,0
361,0,0,0
341,0,0,0
313,0,0,0
310,0,0,0
229,0,0,0
217,0,0,0
210,0,0,0
208,0,0,0
199,0,0,0
195,0,0,0
191,0,0,0
183,0,0,0
179,0,0,0
175,0,0,0
170,0,0,0
168,0,0,0
167,0,0,0
164,0,0,0
154,0,0,0
152,0,0,0
150,0,0,0
148,0,0,0
146,0,0,0
145,0,0,0
129,0,0,0
126,0,0,0
117,0,0,0
110,0,0,0
103,0,0,0
99,0,0,0
75,0,0,0
56,0,0,0
54,0,0,0
50,0,0,0
49,0,0,0
45,0,0,0
41,0,0,0
40,0,0,0
39,0,0,0
37,0,0,0
35,0,0,0
34,0,0,0
29,0,0,0
26,0,0,0
6,0,0,0
5,0,0,0
